Colony Name,Latitude,Longitude
Black Rocks,-33.83783333,26.26333333
Robberg,-34.1,23.3855
Seal Island MB,-34.15033333,22.117
Quoin Rock,-34.78716667,19.66833333
Geyser Rock,-34.68866667,19.4125
Seal Island FB,-34.13833333,18.58333333
Duikerklip,-34.05833333,18.30216667
Robbesteen,-33.64383333,18.40166667
Vondeling Island,-33.15116667,17.98033333
Jutten Island,-33.08,17.95283333
Jacobs Reef,-32.955,17.86166667
Cape Columbine,-32.82583333,17.845
Paternoster Rocks,-32.73833333,17.87166667
Bird Island,-32.088,18.30216667
Elephant Rock,-31.64383333,18.14416667
Namakwa,-30.56218,17.41122
Kleinsee,-29.5695,16.99666667
Cliff Point,-29.09833333,16.81833333
Buchu Twins,-28.7595,16.563
Lion’s Head,-27.67216667,15.52333333
Sinclair Island,-27.66666667,15.52166667
van Reenen Bay,-27.4,15.35
Black Rock,-27.39,15.35
Albatross Rock,-27.11666667,15.23833333
North Reef,-27,15.19
Atlas Bay,-26.832,15.13166667
Long Islands,-26.82216667,15.12
Wolf Bay,-26.81116667,15.12
Dumfudgeon Rock,-26.4945,15.12
Boat Bay Rock,-26.42216667,15.09166667
Staple Rock,-26.3555,14.98333333
Marshall Reef,-26.36,14.96
Klein Ichaboe,-26.29,14.93
Dolphin Head,-25.73333333,14.832
Mercury Island,-25.7195,14.835
Sylvia Hill,-25.13383333,14.8525
Hollams Bird,-24.63883333,14.53
Conception Bay,-23.93,14.49
Sandwich Harbour,-23.35,14.48
Pelican Point,-22.875,14.44333333
Cape Cross,-21.775,13.95
Toscanini,-19.397,13.38
Torra Bay,-19.46,13.25
Möwe Bay,-19.37783333,12.7045
Cape Frio,-18.43616667,12.00333333
Baia dos Tigres,-16.64,11.72
